drive_id,titulo,sugestao_destino,confianca,motivo
14V_6kR6k2v19H0JUlr-Burb2C6idJhFm,## Downloads concluídos — 15 arquivos.txt,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1kfJjK7rN6mwvSNyXG4CIpSf0lpcNf8Sb,## Extração concluída — 14 arquivos gerados.txt,99 — Inbox / Triagem,baixa,LIXO? log/artefato de download — candidato a descartar
1JzTQwiQNPdHClXsJ2hejub2Yd2ihJAwN,01-24_-_regulamentao_da_implantao_de_estao_rdio-base_erb_-_rerratificada_-_pgina_1_1715872319.pdf,02 — Leis & Jurisprudência/2.5 Infralegal,baixa,portaria/regulamentação/anexo -> 2.5 Infralegal
12YdB-Y33swJlWnfaxPFN8Pl8IaVeQU2y,02-23 - Anexo I.pdf,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1Od_Hfp6ln7H0gBCQe6lF_u_tM20PC1u5,02-23 - Anexo II.pdf,99 — Inbox / Triagem,baixa,sem regra clara -> revisar à mão
1tImieDTt34vMj1pCpsLj9mpjAT1bHMho,21-24 - Reorganização do Selo de Valor Cultural - Página.pdf,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1BAftD9AWl-XlNn8iynK6yBCgLlfBkjEU,49c99_22_T_Bairro_da_Bela_Vista.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1zGE-_IvO0C4Z_LWT14viUR_lyRAVu4tO,Anexo 1 do D 57_536_2016.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),media,urbanística (LPUOS/zonas/PIU) -> 2.1
1jrbCc3xZXsihZUmPRfZlNbmmb0zrj5uI,Anexo 8 do D 57.536_2016_1.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),media,urbanística (LPUOS/zonas/PIU) -> 2.1
1Tf-tV2TmeIxDhWG4QJ5ERyD0fwA8CrAa,Anexo 9 do D 57.536_2016.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),media,urbanística (LPUOS/zonas/PIU) -> 2.1
19LgdlZN-IXDnfjqV8yIwIGWgHb3T16Ch,Anexo_2024-06501-00.pdf,02 — Leis & Jurisprudência/2.5 Infralegal,baixa,portaria/regulamentação/anexo -> 2.5 Infralegal
1j4_wkUc-sVY_FPYYhAGpo7KWnfPdTOHa,ANEXOS_DO_PL_586_23___SEM_O_MAPA (1).pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),media,urbanística (LPUOS/zonas/PIU) -> 2.1
1Sti8VuTpJN439jrdyzWeLIu1EUrRFnFg,Análise de Omissões da Legislação - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),media,urbanística (LPUOS/zonas/PIU) -> 2.1
1zF0dKxP3AmeYgsuFKHZlgaO4hFg3eyTwz99oklWPmZs,Análise e Correção de Dados TDC,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1zy--Cx4wKvH72stiZSqpLXec05K-0y0b,Ativação de Zonas de Estruturação (ZEUP e ZEMP) por Particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,02 — Leis & Jurisprudência/2.1 Urbanística (PDE-LPUOS-COE),media,urbanística (LPUOS/zonas/PIU) -> 2.1
1Oh1RZpVrsbaId5ba4AFlTUNF8LLwaUx9,atos.cnj.jus.br_atos_detalhar_2014.pdf,02 — Leis & Jurisprudência/2.6 Jurisprudência,media,acórdão/peça/processo/tese -> Jurisprudência
1-_o0yldO83-ZtNQ3i51Oes0XgZeWd9xl,Atualizacacao_Q14_anoref2025.pdf,02 — Leis & Jurisprudência/2.3 IPTU-Tributário Municipal,media,IPTU/tributário municipal -> 2.3
1VM5iOyzkVSiQxqjp1O8t6c3EzfdYYNlPKYXgqHWeObk,Auditoria TDC São Paulo: Memorial de Fundamentação Estratégica,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1cNAFJ2_bk1umCCEzni7ZJfkYSNVbDufcVmoJRtLOywA,Auditoria TDC São Paulo: Stress-Test Metodologia,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
19ZbY8tv-CkZ_h9r91UuTLsQ_5gI6rGCE,Auditoria TDC São Paulo_ Memorial de Fundamentação Estratégica.pdf,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
1hY7I4CMKiKkN0RhQMSwIJ7WvChg_6RruSbR3ayr6cEw,Auditoria TDC V8.0: Relatório de Profundidade,02 — Leis & Jurisprudência/2.2 TDC-Patrimônio-ZEPEC,alta,TDC/patrimônio/tombamento -> 2.2 TDC-Patrimônio
15ez1ehgYXB8bevIIX4o-JNpdcPE49ggf,Balanco_Financeiro_01JAN2025.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1OJpZwU3tp6qv-h9BuB30yWB6he3Ipq1v,Balanco_Financeiro_02FEV2025.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1Cjc8HQI9e_4o9egtyWitu0dzZlcwGj46,Balanco_Financeiro_03MAR2025 (1).pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1rqdJkmfblG_mfoX2nP6fqG3Pdro7sE6c,Balanco_Financeiro_04ABR2025555.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1dGYKRn6d3wY6ap-GEkcVjFaJVC1LKt2u,Balanco_Financeiro_05MAI2025.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
148qluDvwqn3x7wcLcroc1hNFxA0b33I7,Balanco_Financeiro_06JUN2025.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1Fab0bmEtfMJ6pDtv-VWTuAW2ts1M3KZ3,Balanco_Financeiro_07JUL2025 (1).pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1xRvcmiK_nk6j8pbOPw9vy0kLC02OME8i,Balanco_Financeiro_08AGO2025.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
1tt9VADQiTyHpbxzYzcuNJ2StIpoA_zXe,Balanco_Financeiro_09SET2025.pdf,99 — Inbox / Triagem,media,FINANCEIRO — confirmar se entra no acervo do projeto
