lei_id,chunk_id,dispositivo,tipo,alvo,trecho_prova
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::001-preambulo,Preâmbulo,remissao_externa,"Lei 16402, Art. 26","o de posturas no Município de São  Paulo, regulamentando os artigos 26, 139 a 153 e  176 da Lei nº 16.402, de 22 de març"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::002-art-1o,Art. 1º,remissao_externa,"Lei 16402, Art. 26","ionados aos procedimentos de fiscalização de que  tratam os artigos 26, 139 a 153 e 176 da Lei nº 16.402, de 22 de março"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::005-art-4o,Art. 4º,remissao_externa,"Lei 16402, Art. 141","pondente licença, para os fins de  aplicação do disposto no artigo 141 da Lei nº 16.402, de 2016, deverá ser realizado o"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::010-art-9o,Art. 9º,remissao_externa,"Lei 16402, Art. 142"," Obras indicar o respectivo custo para o fim do disposto no artigo 142, § 2º, da Lei nº 16.402, de 2016.  § 2º Persistin"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::011-art-10,Art. 10,remissao_externa,"Lei 16402, Art. 145","Art. 10. Para fins de cumprimento ao disposto no artigo 145 da Lei nº 16.402, de 2016, as  Subprefeituras encaminharão, "
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::012-art-11,Art. 11,redacao_dada_por,Decreto 57665/2017,(Redação dada pelo Decreto nº 57.665/2017
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::012-art-11,Art. 11,remissao_externa,"Lei 16402, Art. 148"," incomodidade e a aplicação das penalidades de que trata o  artigo 148 da Lei nº 16.402, de 2016, serão feitas, de modo "
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::013-art-12,Art. 12,redacao_dada_por,Decreto 57665/2017,(Redação dada pelo Decreto nº 57.665/2017
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::013-art-12,Art. 12,remissao_externa,"Lei 16402, Art. 148"," Conjuntamente com a imposição das multas a que se refere o artigo 148, incisos I e II, da Lei nº  16.402, de 2016, o ag"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::014-art-13,Art. 13,redacao_dada_por,Decreto 63567/2024,"(Redação dada pelo

Decreto nº 63.567/2024"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::014-art-13,Art. 13,redacao_dada_por,Decreto 57665/2017,(Redação dada pelo Decreto nº 57.665/2017
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::014-art-13,Art. 13,remissao_externa,"Lei 16402, Art. 146","te, a fechamento administrativo decorrente de  infrações ao art. 146 e ao art. 147 da Lei nº 16.402, de 2016;(Incluído p"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::014-art-13,Art. 13,remissao_externa,"Lei 16402, Art. 147","to administrativo decorrente de  infrações ao art. 146 e ao art. 147 da Lei nº 16.402, de 2016;(Incluído pelo Decreto nº"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::014-art-13,Art. 13,remissao_externa,"Lei 16402, Art. 148","esobediência ao fechamento administrativo, no inciso IV, do artigo 148, da Lei nº 16.402,  de 2016.(Redação dada pelo De"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::014-art-13,Art. 13,remissao_interna,Art. 142,atividade por falta de licença de funcionamento prevista no artigo 142 da  referida lei são medidas administrativas inde
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::014-art-13,Art. 13,remissao_externa,"Decreto 49969, Art. 43","o alvará de funcionamento, conforme o caso, para os fins do art. 43  do Decreto nº 49.969, de 28 de agosto de 2008.(Incl"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::015-art-14,Art. 14,redacao_dada_por,Decreto 57665/2017,(Redação dada pelo Decreto nº 57.665/2017
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::015-art-14,Art. 14,remissao_externa,"Lei 16402, Art. 148","eios físicos que criem  obstáculos ao acesso, nos termos do artigo 148, inciso IV, da Lei nº 16.402, de 2016, os respect"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::015-art-14,Art. 14,remissao_interna,Art. 9,"custos deverão ser apurados na forma do disposto no § 1º do artigo 9º deste decreto, e cobrados do  infrator.  § 1º Se, "
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::016-art-14-a,Art. 14-A,remissao_externa,"Lei 16402, Art. 148","a aplicação das multas previstas nos incisos I, II e III do artigo 148 da Lei nº 16.402, de  2016, caberá:(Incluído pelo"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::020-art-18,Art. 18,remissao_externa,"Lei 16402, Art. 149","Art. 18. Quando desobedecida a intimação a que se refere o artigo 149, § 3º, inciso III, da Lei nº  16.402, de 2016, ser"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::020-art-18,Art. 18,remissao_interna,Art. 15,"los ou equipamentos, observado o procedimento previsto nos  artigos 15 e 16 deste decreto.  § 2º Quando a edificação a s"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::022-art-20,Art. 20,redacao_dada_por,Decreto 64628/2025,(Redação dada pelo Decreto nº 64.628/2025
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::022-art-20,Art. 20,remissao_externa,"Lei 16402, Art. 176","Art. 20. Para fins de atendimento ao disposto no artigo 176 da Lei nº 16.402, de 22 de março de 2016,  na redação confer"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::022-art-20,Art. 20,remissao_externa,"Lei 18177, Art. 9"," 16.402, de 22 de março de 2016,  na redação conferida pelo artigo 9º da Lei nº 18.177, de 25 de julho de 2024, a fiscal"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::022-art-20,Art. 20,remissao_externa,"Lei 16402, Art. 136"," I - quando se tratar de falta da licença a que se refere o artigo 136 da Lei nº 16.402, de 2016, será  concedido o praz"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::022-art-20,Art. 20,remissao_externa,"Lei 16402, Art. 146","uso irregular;  II - quando se tratar de descumprimento aos artigos 146 e 147 da Lei nº 16.402, de 2016, o infrator  ser"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::022-art-20,Art. 20,remissao_externa,"Lei 16402, Art. 149","§ 2º Quando se tratar da aplicação das sanções previstas no artigo 149 da Lei nº 16.402, de 2016, não  será adotada a fi"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::023-art-21,Art. 21,remissao_externa,"Lei 16402, Art. 24","alizado a aplicação das multas previstas nos  §§ 2º e 3º do artigo 24 e no inciso I do § 1º do artigo 26, ambos da Lei n"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::023-art-21,Art. 21,remissao_externa,"Lei 16402, Art. 26","istas nos  §§ 2º e 3º do artigo 24 e no inciso I do § 1º do artigo 26, ambos da Lei nº 16.402, de 2016.  § 1º Para fins "
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::023-art-21,Art. 21,remissao_externa,"Lei 16402, Art. 150"," artigo, serão adotados os  procedimentos estabelecidos nos artigos 150 e 151 da Lei nº 16.402, de 2016.  § 2º As multas"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::023-art-21,Art. 21,remissao_externa,"Lei 15948, Art. 35"," Especial de  Atividades Culturais - FEPAC, de acordo com o artigo 35 da Lei nº 15.948, de 26 de dezembro de 2013."
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::024-art-22,Art. 22,remissao_interna,Art. 21,"aridade que enseje a aplicação das multas a que se refere o artigo 21 deste  decreto, compete ao Departamento do Patrimô"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::025-art-23,Art. 23,remissao_externa,"Lei 16402, Art. 24","s para conservação do imóvel cedente, nos termos do § 3º do artigo 24 da Lei nº  16.402, de 2016, será submetida ao DPH "
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::026-art-24,Art. 24,remissao_externa,"Lei 16402, Art. 26","Art. 24. A multa prevista no inciso I do § 1º do artigo 26 da Lei nº 16.402, de 2016, é subsidiária em  relação à legis"
decreto-saopaulo-57443-2016,decreto-saopaulo-57443-2016::027-art-25,Art. 25,vigencia_de,Art. 11,"o Paulo  Alterações  1\. Decreto nº 57.665/2017 - Altera os artigos 11, 12, 13 e 14; 2. Decreto nº 63.567/2024 - Altera "
